#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_2456	1031	1310	737	947	890	466	978	722	800	742
SL1344_2457	1194	1218	592	977	834	402	1163	744	809	611
SL1344_2458	230	355	160	182	217	126	354	233	219	186
SL1344_2459	1762	2114	1508	2014	1324	649	1731	1259	1287	1652
SL1344_2460	390	579	532	500	485	280	617	696	879	478
SL1344_2461	4654	5202	4259	5886	3612	2188	6075	4900	4738	3732
SL1344_2462	368	409	274	352	269	211	529	371	395	294
SL1344_2463	279	291	196	278	209	111	353	192	165	250
SL1344_2464	1865	2830	1249	1887	1517	727	2672	1374	1347	1567
SL1344_2465	953	1655	662	967	917	299	1318	688	591	873
SL1344_2466	75	57	41	38	59	19	85	38	39	53
SL1344_2468	1024	657	495	624	573	139	743	346	289	794
SL1344_2469	89	51	39	79	32	7	75	32	14	85
SL1344_2471	5213	6038	5241	7138	4708	3954	6288	6454	8232	4755
SL1344_2472	5957	4936	4178	8162	3977	2516	6731	6316	9030	4311
SL1344_2473	2419	2279	1381	2608	1335	662	2372	1341	1194	1682
SL1344_2474	327	342	227	320	309	112	362	179	183	258
SL1344_2477	557	674	359	490	501	191	714	364	358	330
SL1344_2478	18	25	23	40	26	18	47	12	14	14
SL1344_2479	70	81	56	67	64	22	81	63	49	57
SL1344_2480	65	21	14	40	15	19	23	24	19	36
SL1344_2481	5451	5077	3736	5666	3514	2989	5618	4246	4418	2825
SL1344_2482	2340	2458	1605	2662	1448	1774	2959	1898	2078	1352
SL1344_2483	861	873	500	795	482	605	839	609	663	489
SL1344_2484	6026	6718	3937	6255	4179	2423	6071	4360	5042	3847
SL1344_2485	2337	2589	1495	1981	1629	1339	1945	1409	1469	1549
SL1344_2486	4357	3860	2258	3716	2632	1553	3495	2498	2584	2463
SL1344_2487	2796	2527	1842	2874	1762	1058	2404	2021	2131	2201
SL1344_2488	721	1088	602	705	833	404	790	814	933	1029
SL1344_2489	23	22	15	7	6	2	11	15	13	19
SL1344_2490	29	29	7	20	14	5	17	9	8	16
SL1344_2491	9	2	4	10	7	3	2	3	2	8
SL1344_2492	157	170	106	128	106	33	120	98	110	135
SL1344_2493	382	415	216	227	256	130	345	187	196	269
SL1344_2494	1841	2718	1408	1445	1482	704	1780	1230	1272	1184
SL1344_2495	376	579	309	345	400	192	509	420	477	320
SL1344_2496	120	141	58	88	112	48	125	73	48	94
SL1344_2497	1784	2067	1562	2210	1767	812	1764	1474	1356	1501
SL1344_2498	2458	2758	2196	2705	2126	1103	2754	2111	1790	2022
SL1344_2499	192	260	205	283	203	196	276	185	115	242
SL1344_2500	3874	4969	3852	5463	4478	2903	5927	4143	2947	3714
SL1344_2501	3701	5070	3645	4624	3446	2219	4757	3107	1944	3709
SL1344_2502	2372	2526	1858	2771	2074	1593	2559	1791	1278	1754
SL1344_2503	9475	11412	7058	9001	7347	6481	10367	7174	5434	4728
SL1344_2504	6918	10584	6227	7027	6062	2762	8410	5452	3874	6072
SL1344_2505	12035	15437	9317	13460	11549	8981	14838	10043	7513	8508
SL1344_2506	1599	2010	1288	1650	1285	940	2083	1334	874	1675
SL1344_2507	3063	3602	2766	3740	2925	988	3007	2733	2703	2897
SL1344_2508	11240	7187	6403	13214	5109	2955	10881	7919	8356	7558
SL1344_2509	456	127	147	334	145	63	158	104	59	321
SL1344_2510	64	24	19	33	6	6	37	10	12	21
SL1344_2511	10	20	4	11	13	13	10	13	6	8
SL1344_2512	49	30	22	42	13	10	29	15	17	11
SL1344_2513	191	245	114	155	114	53	166	86	83	118
SL1344_2514	381	468	241	281	268	121	310	206	243	206
SL1344_2515	78	292	74	40	77	16	128	50	72	58
SL1344_2516	704	743	446	636	452	248	685	399	430	576
SL1344_2517	6842	13068	5298	6303	6770	3345	8970	7627	10241	4133
SL1344_2518	291	378	162	632	337	133	504	249	184	292
SL1344_2519	1294	1475	963	1624	986	459	1426	1014	903	1071
SL1344_2520	77	81	35	37	66	29	146	271	532	24
SL1344_2521	285	490	335	352	342	148	521	2390	4914	325
SL1344_2522	112	56	40	91	64	26	59	102	154	55
SL1344_2523	283	361	185	287	233	183	320	221	245	164
SL1344_2524	1651	1928	1187	1559	1156	540	1737	1016	1005	1158
SL1344_2525	670	601	438	520	498	227	539	412	400	417
SL1344_2526	1374	1312	866	924	821	335	983	716	541	756
SL1344_2527	1182	1493	888	1383	1030	703	1535	1032	1065	892
SL1344_2529	1470	1278	808	1215	710	311	1148	692	601	990
SL1344_2530	270	364	165	306	266	108	359	228	195	259
SL1344_2531	109	127	58	56	82	30	114	65	56	85
SL1344_2532	645	787	393	348	555	145	391	316	508	291
SL1344_2533	568	894	390	424	675	149	447	360	458	503
SL1344_2534	219	235	170	219	150	71	229	151	112	201
SL1344_2535	294	390	177	184	195	117	297	208	158	167
SL1344_2536	30	32	11	34	24	9	32	24	12	21
SL1344_2537	34	42	16	11	37	7	34	8	17	33
SL1344_2538	433	465	303	533	348	167	590	323	349	317
SL1344_2539	432	535	343	445	367	211	436	367	374	294
SL1344_2540	556	573	386	463	426	255	439	369	449	385
SL1344_2541	1595	1580	1072	1440	1112	442	1334	923	1059	1255
SL1344_2542	3698	3345	2255	3790	2303	1736	3287	2437	2823	2541
SL1344_2543	5748	6270	4242	6167	4229	1701	5992	4194	4539	4967
SL1344_2544	2840	3057	2323	2961	2058	1246	2997	2191	1928	2478
SL1344_2545	6373	7704	5639	7377	5128	3638	7916	6156	5504	5210
SL1344_2546	902	957	583	777	913	170	1016	730	827	1130
SL1344_2547	330	610	150	274	230	113	495	216	198	261
SL1344_2548	73	65	16	23	20	9	31	21	28	32
SL1344_2549	44	57	12	22	43	11	64	28	19	19
SL1344_2550	34	46	17	27	9	18	21	5	15	9
SL1344_2551	48	36	10	4	10	5	28	15	10	5
SL1344_2552	217	317	48	79	101	52	210	78	53	67
SL1344_2552A	51	45	11	9	6	11	24	15	21	7
SL1344_2553	435	596	84	110	149	159	300	98	121	95
SL1344_2554	128	156	28	41	56	50	81	48	69	34
SL1344_2555	144	193	68	80	66	45	124	62	46	94
SL1344_2556	278	350	105	151	108	75	163	103	128	72
SL1344_2557	58	69	13	13	13	15	35	26	16	25
SL1344_2558	1217	1512	420	558	487	298	797	373	476	395
SL1344_2559	57	78	10	16	20	9	32	23	23	17
SL1344_2560	180	352	56	97	97	68	146	50	83	63
SL1344_2561	410	631	165	223	203	155	344	241	259	124
SL1344_2562	166	268	58	89	88	54	160	67	72	92
SL1344_2563	5273	6587	3503	5511	5029	1081	5108	5483	8025	3134
SL1344_2564	283	361	66	97	71	60	194	67	91	87
SL1344_2565	136	220	34	37	59	53	82	38	61	24
SL1344_2566	259	391	75	68	71	73	186	102	130	47
SL1344_2567	403	678	105	142	153	131	261	169	155	116
SL1344_2568	175	242	13	40	38	38	109	27	64	41
SL1344_2569	480	852	94	124	165	136	335	146	220	111
SL1344_2570	500	578	123	163	169	108	307	141	230	145
SL1344_2571	90	144	35	28	20	12	45	23	34	22
SL1344_2572	384	563	104	150	103	119	291	112	118	109
SL1344_2573	95	137	19	20	15	14	42	20	33	16
SL1344_2574	126	212	70	59	72	36	206	87	73	68
SL1344_2575	64	81	22	20	17	18	48	23	13	21
SL1344_2576	24	27	5	6	6	4	21	12	9	6
SL1344_2577	414	593	221	267	308	105	491	346	251	345
SL1344_2578	273	181	126	207	125	37	189	144	52	157
SL1344_2579	116	115	29	63	37	28	42	22	40	37
SL1344_2580	5	8	1	0	2	0	8	0	1	0
SL1344_2581	69	73	16	36	23	22	42	27	31	26
SL1344_2582	172	105	28	98	50	31	84	67	64	48
SL1344_2583	415	532	145	198	245	247	355	270	193	229
SL1344_2584	432	557	186	242	306	107	457	338	216	265
SL1344_2585	715	611	266	421	369	205	641	371	469	261
SL1344_2586	90	100	25	15	32	20	59	37	37	49
SL1344_2587	349	308	56	77	115	49	156	74	64	78
SL1344_2588	183	159	22	29	27	35	80	44	57	37
SL1344_2589	249	212	38	40	90	81	122	39	48	58
SL1344_2590	615	442	62	71	145	71	252	88	115	90
SL1344_2591	983	700	80	110	231	175	354	148	182	208
SL1344_2593	8835	11826	8812	9924	7059	1974	9999	7515	7996	7841
SL1344_2594	5016	5533	4505	6498	4450	1904	5610	5377	4574	6051
SL1344_2595	180	136	66	69	61	42	103	56	50	49
SL1344_2597	2502	1770	247	394	739	319	935	455	737	376
SL1344_2597A	12	22	5	5	4	0	16	5	5	7
SL1344_2598	52	76	21	17	26	8	23	16	31	21
SL1344_2599	18	25	5	11	10	2	10	11	7	12
SL1344_2600	1320	1336	866	1058	795	379	1072	772	737	654
SL1344_2601	441	326	205	312	195	60	316	204	192	275
SL1344_2602	2527	1691	880	1534	1088	608	1447	968	1087	1023
SL1344_2603	4274	2320	922	1414	1043	929	1784	1107	1198	1111
SL1344_2604	9695	4497	1641	2370	1491	1672	3296	2051	2508	1222
SL1344_2605	101	79	48	85	45	40	79	65	37	45
SL1344_2606	936	863	539	756	542	242	760	483	438	635
SL1344_2607	4587	4697	3415	5083	3430	962	5211	3521	2679	3947
SL1344_2608	370	340	206	305	253	118	325	270	197	225
SL1344_2609	24	39	17	7	38	5	28	15	18	18
SL1344_2610	114	219	55	115	162	41	120	940	2025	76
SL1344_2611	367	558	247	370	317	137	465	332	350	355
SL1344_2612	1849	1476	980	1761	901	1155	1514	1192	1343	772
SL1344_2613	410	474	329	425	369	222	437	370	354	348
SL1344_2614	196	232	139	223	173	94	208	171	148	190
SL1344_2615	1416	2456	1112	1354	1304	472	1601	1121	1401	1309
SL1344_2616	3590	4675	3075	4429	3396	1344	4939	3242	3026	3577
SL1344_2617	164	146	70	108	77	50	126	68	75	122
SL1344_2618	258	282	86	126	135	53	118	98	122	166
SL1344_2619	164	204	43	68	56	30	105	26	29	40
SL1344_2620	11338	26321	19364	7457	15093	6167	13988	16796	5119	13258
SL1344_2621	3390	4110	2144	3579	2324	1127	3491	2365	2591	2520
SL1344_2622	4734	6328	4194	5724	4083	1805	5814	3993	4142	4271
SL1344_2623	1979	1974	1118	1705	1184	577	1788	1303	1326	1366
SL1344_2624	852	1280	308	399	788	156	876	712	858	660
SL1344_2625	2544	2164	1346	2470	1637	282	2199	944	630	2000
SL1344_2626	220	358	94	197	114	75	346	111	175	110
SL1344_2627	743	755	433	582	495	230	550	411	449	498
SL1344_2628	1210	1192	595	999	709	479	861	627	707	649
SL1344_2629	271	220	128	195	156	72	219	94	90	217
SL1344_2630	883	668	411	695	431	186	593	408	399	557
SL1344_2631	3099	5064	2788	3265	3021	1293	3792	2820	2179	3047
SL1344_2632	1430	2920	1696	1615	1553	613	2719	1614	1161	1846
SL1344_2633	1061	2012	1096	1088	1157	685	1683	1084	699	1329
SL1344_2634	1	6	4	2	4	0	3	0	2	7
SL1344_2635	1	7	6	1	1	2	5	1	0	3
SL1344_2636	0	0	0	0	0	0	0	0	0	0
SL1344_2637	0	2	0	0	0	0	0	0	0	0
SL1344_2638	3	1	0	2	4	2	0	2	0	0
SL1344_2639	1	1	0	2	0	0	1	1	1	0
SL1344_2640	1	3	4	2	0	0	2	0	0	4
SL1344_2642	23	42	19	16	34	13	42	26	17	44
SL1344_2643	79	140	50	76	46	27	132	32	51	51
SL1344_2644	1129	3169	1371	919	1701	396	1623	1608	2069	1506
SL1344_2645	307	570	238	284	496	65	439	337	623	252
SL1344_2646	37617	44160	36831	65836	44185	17925	54165	43848	41725	46476
SL1344_2647	86388	113991	88212	126067	82814	45149	108078	91433	85949	90327
SL1344_2648	26552	30638	24487	35579	22211	16155	31225	25338	22867	23147
SL1344_2649	24188	27547	22574	31470	19928	12024	25512	20187	19418	19211
SL1344_2650	6987	7200	4811	5801	4114	2673	5631	4996	5422	4051
SL1344_2651	753	791	551	745	529	285	768	500	460	686
SL1344_2652	3792	3999	2318	3416	2365	773	2801	1845	1730	2484
SL1344_2653	707	611	370	462	351	121	502	266	271	423
SL1344_2654	9004	21792	14248	7115	12090	5571	12892	13786	6524	9987
SL1344_2655	449	650	335	472	444	103	575	359	303	530
SL1344_2656	1481	2038	1463	1712	1750	563	1779	1559	1388	1504
SL1344_2657	2580	2947	1905	2471	2250	677	2946	2211	1995	1822
SL1344_2658	262	313	188	305	270	228	246	185	242	138
SL1344_2659	510	493	388	566	483	360	636	536	608	377
SL1344_2660	2647	3122	1664	2268	1818	1037	2635	2175	2278	1292
SL1344_2661	707	785	143	397	174	73	715	132	133	204
SL1344_2662	36	47	9	28	30	8	62	19	16	23
SL1344_2663	45	60	12	17	24	12	77	17	13	15
SL1344_2664	32	28	24	26	17	4	49	6	2	20
SL1344_2665	28	14	7	9	16	6	20	5	7	16
SL1344_2666	80	100	66	88	74	85	86	76	49	51
SL1344_2667	17	34	19	29	18	9	26	14	8	14
SL1344_2668	106	138	71	97	80	38	83	45	55	49
SL1344_2669	5	9	0	6	8	0	5	5	1	3
SL1344_2670	8	15	9	8	2	3	8	5	1	6
SL1344_2671	36	35	16	10	20	24	29	29	21	14
SL1344_2672	66	106	59	84	66	35	103	47	48	85
SL1344_2674	264	36	419	103	1760	20	34	637	553	919
SL1344_2675	53	161	31	33	49	27	158	52	31	32
SL1344_2676	52	94	63	63	93	29	62	48	41	58
SL1344_2677	23	15	13	16	8	2	27	10	21	25
SL1344_2678	15	40	11	13	23	3	5	10	15	10
SL1344_2679	5	2	1	6	10	8	9	0	6	3
SL1344_2680	14	17	4	5	7	7	17	5	19	9
SL1344_2681	0	0	0	3	0	6	3	2	1	0
SL1344_2682	7	7	12	10	16	3	5	9	1	4
SL1344_2684	14	9	11	0	11	2	7	18	1	3
SL1344_2685	5	12	5	3	3	5	11	7	2	4
SL1344_2686	4	2	2	2	0	0	3	0	0	2
SL1344_2687	7	1	0	1	1	0	3	2	3	0
SL1344_2688	1	0	0	0	0	0	1	0	0	0
SL1344_2689	5	4	6	2	12	2	6	0	3	10
SL1344_2690	2	2	4	6	9	2	0	1	3	3
SL1344_2691	11	29	13	21	19	7	3	16	16	16
SL1344_2692	9	13	5	14	9	3	2	5	2	2
SL1344_2693	1	13	0	16	7	0	2	4	2	3
SL1344_2694	2	4	3	0	3	0	2	3	2	1
SL1344_2695	594	746	510	523	581	140	525	460	648	841
SL1344_2696	1137	1576	985	847	1239	207	681	1022	1297	1262
SL1344_2697	513	953	489	569	523	341	666	621	515	715
SL1344_2698	1372	2251	1619	1637	2073	380	1802	1973	1606	2713
SL1344_2699	902	1122	582	714	828	337	758	732	690	699
SL1344_2700	332	503	245	247	256	117	334	288	206	352
SL1344_2701	82	80	39	68	56	26	76	50	63	56
SL1344_2702	16	33	2	14	9	1	17	12	7	8
SL1344_2703	10	17	7	7	6	1	7	7	5	8
SL1344_2704	7	17	0	20	17	4	11	4	9	6
SL1344_2705	23	29	10	13	21	4	37	13	23	7
SL1344_2706	8	24	7	10	12	5	5	13	10	24
SL1344_2707	6	21	14	7	22	0	12	15	7	16
SL1344_2708	458	1141	613	636	708	201	1032	730	627	548
SL1344_2709	254	580	301	329	341	143	502	344	340	368
SL1344_2710	578	1084	556	593	809	148	688	548	723	940
SL1344_2712	82	173	93	117	130	66	179	85	101	133
SL1344_2713	329	635	479	520	589	74	474	711	1332	853
SL1344_2714	29	66	62	41	60	8	61	69	95	161
SL1344_2715	283	547	455	395	458	89	501	482	693	485
SL1344_2716	10	3	0	3	0	2	2	3	5	9
SL1344_2717	3	9	1	8	5	2	7	2	0	0
SL1344_2718	4	9	1	7	7	6	8	8	6	8
SL1344_2719	104	130	89	107	85	21	79	37	41	123
SL1344_2720	2	3	7	0	1	1	0	0	0	3
SL1344_2721	23	40	39	36	38	14	38	22	16	32
SL1344_2722	228	406	209	237	265	99	328	227	195	232
SL1344_2725	12	40	9	7	14	3	25	15	14	12
SL1344_2726	1695	2195	1486	1978	1945	472	1940	1594	1797	1913
SL1344_2727	655	672	347	587	491	121	692	426	334	778
SL1344_2728	3	4	3	0	1	0	0	0	2	3
SL1344_2729	8	22	0	7	8	0	6	6	4	6
SL1344_2730	93	101	130	134	87	10	151	346	506	400
SL1344_2731	85	55	65	72	64	10	88	162	239	171
SL1344_2732	144	212	121	160	186	156	223	181	236	151
SL1344_2733	13	12	2	11	12	2	31	3	5	7
SL1344_2734	0	4	1	2	3	0	3	0	4	0
SL1344_2735	1	0	0	0	4	0	0	0	0	0
SL1344_2736	1	0	0	1	0	0	1	0	0	2
SL1344_2737	13	10	0	8	4	4	7	8	7	6
SL1344_2738	371	696	378	552	570	170	613	520	612	544
SL1344_2739	23	47	38	35	14	7	27	25	22	13
SL1344_2740	3	7	2	3	0	0	0	0	1	0
SL1344_2741	9	23	3	19	18	4	24	0	12	4
SL1344_2742	0	6	4	0	2	3	14	0	4	8
SL1344_2743	32	27	17	14	16	6	15	9	7	11
SL1344_2744	12	12	8	8	9	10	17	14	5	11
SL1344_2745	135	141	124	160	132	24	151	123	159	221
SL1344_2746	91	116	78	101	77	42	124	109	78	180
SL1344_2751	229	249	175	268	232	93	210	231	214	382
SL1344_2752	4454	5770	3501	4373	3580	1495	5053	4074	4649	5346
SL1344_2754	295	219	89	154	91	23	161	104	97	98
SL1344_2755	166	170	75	109	14561	35	104	134	160	16901
SL1344_2756	475	550	628	1070	218778	364	355	1572	2580	174712
SL1344_2757	206	489	128	125	110	44	397	109	75	160
SL1344_2758	184	92	270	223	48	45	86	152	57	24
SL1344_2759	199	223	307	426	112	67	208	206	143	133
SL1344_2760	47	58	39	55	29	7	43	55	18	29
SL1344_2761	33	47	58	78	51	8	69	80	76	39
SL1344_2762	333	381	159	418	164	99	452	174	110	209
SL1344_2763	1427	2494	843	1041	1072	430	1905	1015	772	1247
SL1344_2764	2894	5574	3023	3116	4873	1108	5570	3657	3314	2607
SL1344_2765	2029	3414	1504	1914	2384	782	3475	1767	1384	2274
SL1344_2767	182	288	155	167	218	57	196	122	164	206
SL1344_2768	164	310	137	120	263	44	169	94	130	249
SL1344_2769	229	795	211	92	494	23	130	146	244	326
SL1344_2770	8	43	10	10	5	12	24	13	9	10
SL1344_2771	3	4	2	1	3	2	4	1	0	3
SL1344_2772	17	29	11	9	16	11	31	22	10	29
SL1344_2773	16	34	8	11	19	4	16	17	8	16
SL1344_2774	25	145	19	23	60	14	37	12	17	53
SL1344_2775	42	112	29	29	43	6	56	27	22	26
SL1344_2776	30	54	18	8	23	11	21	28	19	16
SL1344_2777	26	31	13	11	25	4	27	12	13	11
SL1344_2778	55	53	25	35	46	20	47	19	18	29
SL1344_2779	711	2954	179	306	202	216	2519	213	161	173
SL1344_2780	234	774	35	109	96	82	414	78	91	59
SL1344_2782	210	307	185	176	130	84	246	181	177	188
SL1344_2783	5635	9923	4906	6572	4898	3278	10888	5531	4675	5120
SL1344_2784	55	62	38	63	38	21	86	36	45	54
SL1344_2785	1892	5103	77	280	83	700	5756	143	261	67
SL1344_2786	658	2317	54	233	127	124	2348	79	108	99
SL1344_2787	199	400	157	219	191	98	290	196	105	219
SL1344_2788	84	92	45	53	62	25	59	40	39	30
SL1344_2789	0	0	0	1	0	0	0	0	0	0
SL1344_2790	23	33	47	48	51	10	62	28	1	45
SL1344_2791	46	76	51	77	48	23	142	48	6	88
SL1344_2792	135	164	146	211	144	72	235	106	10	151
SL1344_2793	307	425	310	498	340	125	433	219	54	336
SL1344_2794	2853	1441	622	2358	674	291	1838	513	296	1070
SL1344_2795	139	142	59	153	65	46	119	45	8	86
SL1344_2796	543	797	266	743	370	128	727	248	162	357
SL1344_2797	100	125	61	108	76	25	112	55	30	64
SL1344_2798	4570	6066	3381	5812	3870	1256	3916	3449	4111	4725
SL1344_2799	3564	4315	2325	3588	2291	1107	2400	2143	2401	2238
SL1344_2800	975	830	586	1031	654	312	666	574	567	644
SL1344_2801	100	103	65	110	51	26	104	75	75	75
SL1344_2802	834	1322	688	938	730	611	1235	735	675	600
SL1344_2803	7541	10944	6023	8683	5674	2766	9458	5939	5495	6673
SL1344_2804	5164	7781	4133	5150	3497	1284	5979	3752	3598	4183
SL1344_2805	2014	2072	1228	1502	1098	685	1724	1141	997	1429
SL1344_2806	4099	6289	3706	4434	3956	2062	5118	3932	4727	2845
SL1344_2807	17552	25905	15951	17343	16673	8282	14611	13443	15659	11591
SL1344_2808	379	423	225	404	262	134	368	202	206	278
SL1344_2809	13966	15843	8126	9464	8398	8615	10300	9220	9949	5483
SL1344_2810	740	1154	514	538	456	255	755	515	436	509
SL1344_2811	789	1791	800	1183	805	345	1936	923	858	1128
SL1344_2812	16	57	10	7	38	5	10	5	10	10
SL1344_2813	16	56	22	20	23	2	19	13	10	28
SL1344_2814	6	20	0	1	18	2	1	6	4	7
SL1344_2815	93	270	55	50	129	21	128	62	66	72
SL1344_2816	138	253	95	123	196	32	166	85	131	125
SL1344_2817	485	1180	550	353	671	192	587	413	363	535
SL1344_2818	137	368	183	190	239	74	186	119	155	185
SL1344_2819	229	548	209	174	261	126	334	193	218	287
SL1344_2820	55	73	39	37	30	14	61	19	30	41
SL1344_2821	20	33	9	10	19	11	21	15	19	26
SL1344_2822	585	804	510	658	507	349	737	574	533	512
SL1344_2823	23	28	5	21	28	4	25	6	13	15
SL1344_2824	60	83	66	45	38	29	49	46	29	29
SL1344_2825	72	125	55	50	56	29	69	46	38	50
SL1344_2826	48	49	37	37	29	14	53	25	22	20
SL1344_2827	34	50	46	36	39	25	47	29	23	56
SL1344_2828	60	141	97	109	115	67	104	108	80	81
SL1344_2829	38	89	50	57	96	25	51	32	43	33
SL1344_2830	44	59	42	40	60	11	38	27	33	35
SL1344_2831	24	26	15	13	27	14	23	8	29	17
SL1344_2832	7	7	8	8	8	5	5	1	6	1
SL1344_2833	5	23	6	0	5	2	13	7	0	6
SL1344_2834	103	247	111	124	176	41	234	250	399	143
SL1344_2835	133	237	110	142	128	67	197	253	304	121
SL1344_2836	138	237	142	138	151	37	201	264	423	116
SL1344_2837	73	131	75	110	89	45	111	150	258	100
SL1344_2838	144	252	121	174	149	38	163	237	326	159
SL1344_2839	265	442	126	231	169	84	443	149	138	204
SL1344_2840	95	146	66	122	95	26	162	88	63	93
SL1344_2841	1331	526	456	1180	357	122	670	188	85	557
SL1344_2842	1057	645	424	1120	401	148	487	146	95	295
SL1344_2843	92	29	33	83	26	8	20	10	3	22
SL1344_2844	490	371	271	447	284	88	277	114	99	217
SL1344_2845	569	533	395	421	780	204	495	459	497	562
SL1344_2846	152	88	184	78	534	15	37	195	221	371
SL1344_2847	885	662	1373	951	3536	183	511	1790	1876	2665
SL1344_2848	805	1065	687	738	1069	263	1104	855	744	1101
SL1344_2849	2577	3890	2504	2441	3870	1232	3659	3086	3036	2921
SL1344_2850	716	513	609	414	1719	134	453	870	1105	1097
SL1344_2851	500	367	664	277	1493	183	285	786	860	962
SL1344_2852	234	123	426	147	989	50	100	458	489	519
SL1344_2853	261	116	314	105	778	46	67	373	361	455
SL1344_2854	1477	565	2129	643	5228	260	301	2418	3297	2753
SL1344_2855	1765	1793	1398	1476	2414	587	1419	1804	1589	2499
SL1344_2856	429	283	410	273	1246	82	226	787	1160	849
SL1344_2857	118	124	97	79	258	24	92	161	225	124
SL1344_2858	6679	11441	5684	5244	7829	2011	5831	4217	4728	4490
SL1344_2859	1235	1833	1131	1443	2045	340	1555	1058	818	1699
SL1344_2860	231	274	198	195	460	58	280	254	120	400
SL1344_2861	1271	1458	1809	1157	5283	407	1214	1830	1792	2693
SL1344_2862	224	216	438	187	1309	74	183	469	408	649
SL1344_2863	796	938	2115	849	7539	192	710	2072	1895	3900
SL1344_2864	776	818	1816	525	6145	275	592	2101	1966	2837
SL1344_2865	203	134	339	121	1254	50	108	472	450	478
SL1344_2866	134	158	239	110	531	60	115	275	334	283
SL1344_2867	25	23	31	14	106	8	36	16	33	61
SL1344_2868	8	3	12	1	41	2	0	14	17	25
SL1344_2869	117	86	221	92	602	24	86	220	298	366
SL1344_2870	180	151	247	122	606	49	76	263	323	273
SL1344_2871	131	142	282	91	680	49	85	285	406	294
SL1344_2872	454	353	729	232	1763	89	223	998	1364	619
SL1344_2873	168	153	281	92	723	50	79	302	512	381
SL1344_2874	294	310	615	182	1405	55	198	674	832	741
SL1344_2875	363	391	670	192	1549	133	224	814	953	931
SL1344_2876	144	86	355	79	824	11	55	474	472	640
SL1344_2877	366	139	660	115	1505	52	65	865	1089	999
SL1344_2878	417	156	808	212	2058	56	62	1008	1473	1206
SL1344_2879	184	211	298	375	538	38	218	486	638	439
SL1344_2880	1387	1394	806	1102	936	306	1199	907	996	1239
SL1344_2881	199	208	115	191	125	35	186	126	131	254
SL1344_2882	53	132	38	49	55	24	111	61	11	75
SL1344_2884	267	498	231	214	233	137	450	338	288	316
SL1344_2885	817	1814	708	794	841	432	1333	1052	742	695
SL1344_2886	189	227	101	140	66	43	230	129	85	142
SL1344_2887	24	29	5	13	12	4	25	3	6	22
SL1344_2888	1419	2441	1370	1587	1485	580	1847	1285	1139	1300
SL1344_2889	23	27	15	22	23	17	19	12	41	11
SL1344_2890	23	17	4	25	21	11	8	10	9	11
SL1344_2891	118	179	94	128	105	19	125	120	76	122
SL1344_2892	125	236	109	107	110	55	104	84	109	87
SL1344_2893	40	88	14	12	29	8	16	21	42	15
SL1344_2894	59	188	27	25	110	17	36	60	76	57
SL1344_2895	112	289	49	41	142	24	57	55	135	95
SL1344_2896	64	137	23	18	69	12	31	31	62	53
SL1344_2897	25	83	16	14	48	8	13	9	17	35
SL1344_2898	553	690	338	441	478	161	503	439	440	256
SL1344_2899	129	169	99	105	134	63	157	135	87	120
SL1344_2900	36	37	18	18	15	8	37	11	17	27
SL1344_2901	32	76	29	53	50	15	70	30	44	39
SL1344_2902	3	7	6	3	16	5	7	4	5	6
SL1344_2903	24499	36105	6399	11734	6619	10544	27479	8010	9979	7641
SL1344_2904	42349	63151	12751	27761	16009	15960	57948	17473	20004	15293
SL1344_2905	903	1296	651	996	715	259	985	657	584	990
SL1344_2906	1008	1417	758	1086	757	500	1075	684	775	1034
SL1344_2907	3228	3979	2265	3255	2222	1574	3177	2284	2487	2165
SL1344_2908	1231	1843	1135	1493	1007	588	1390	1077	1041	1042
SL1344_2909	1907	2029	1365	1835	1394	584	1765	1289	1211	1311
SL1344_2910	2000	2044	1425	2017	1384	759	1648	1203	1318	926
SL1344_2911	62	92	43	80	56	55	106	57	25	82
SL1344_2912	112	158	37	74	37	78	260	52	25	131
SL1344_2913	603	1602	235	547	273	673	1640	321	137	625
SL1344_2914	338	1029	79	237	134	733	1104	181	29	358
SL1344_2915	1191	1789	468	965	629	518	1988	809	1001	688
SL1344_2916	213	380	248	235	233	62	302	211	207	222
SL1344_2917	165	252	112	155	180	48	167	125	129	170
SL1344_2918	52	136	87	82	72	27	91	105	93	29
SL1344_2919	21	48	23	45	20	6	28	33	43	48
SL1344_2920	103	203	79	98	76	33	111	101	99	105
SL1344_2921	19	63	17	27	32	6	31	20	23	29
SL1344_2922	76	132	70	70	81	27	103	57	71	94
SL1344_2923	106	188	57	94	80	26	117	64	56	61
SL1344_2924	133	218	69	136	156	17	203	97	110	100
SL1344_2925	534	658	100	404	119	367	939	124	21	288
SL1344_2926	1415	2529	297	1242	334	1516	3475	398	92	1129
SL1344_2927	489	1487	133	404	158	874	1762	172	28	542
SL1344_2928	125	182	136	209	91	105	230	143	141	111
SL1344_2929	146	212	99	114	93	45	121	112	78	95
SL1344_2930	1530	2168	1308	1677	1152	712	1873	1225	1383	1064
SL1344_2931	23794	32194	23987	34571	23203	16467	33947	27883	26293	26722
SL1344_2932	14778	13972	10529	16889	9843	5888	14910	11920	12029	11100
SL1344_2933	1195	1669	835	1245	747	549	1114	835	1015	830
SL1344_2935	445	431	275	323	218	65	401	223	143	459
SL1344_2936	848	1108	661	747	572	262	935	601	538	801
