#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_1200	30	91	10	22	4	7	95	10	4	6
SL1344_1201	4735	1725	970	1925	1014	397	1650	961	1252	1531
SL1344_1202	270	1379	71	202	101	159	2283	52	53	68
SL1344_1203	4	9	4	7	7	0	14	10	4	10
SL1344_1204	468	445	261	332	336	69	500	286	353	472
SL1344_1205	1217	1196	666	848	718	266	1201	701	804	782
SL1344_1207	84	75	51	73	51	33	115	72	35	44
SL1344_1208	130	132	71	89	63	25	116	83	45	110
SL1344_1209	17	22	15	15	9	4	19	13	8	21
SL1344_1210	1203	3757	348	828	518	353	3903	387	304	243
SL1344_1211	309	462	243	344	330	108	473	262	272	284
SL1344_1212	725	521	389	698	629	119	571	543	532	481
SL1344_1213	119	147	89	111	107	71	136	110	79	105
SL1344_1214	88	82	48	116	95	44	109	72	29	87
SL1344_1215	140	296	130	193	150	80	248	154	101	168
SL1344_1216	33	29	19	25	15	17	34	29	19	25
SL1344_1217	460	550	215	327	286	238	487	410	432	175
SL1344_1218	596	826	343	452	442	170	849	478	542	416
SL1344_1219	671	1154	304	440	366	173	972	264	245	331
SL1344_1220	1098	3415	283	582	454	245	2524	335	276	477
SL1344_1221	2836	4786	2219	2674	2442	1318	4642	2694	2435	2511
SL1344_1222	255	213	127	197	121	29	193	76	106	137
SL1344_1223	345	508	283	275	332	128	440	277	263	238
SL1344_1224	242	468	325	300	332	95	342	247	136	324
SL1344_1224A	47	90	54	34	84	23	53	31	38	46
SL1344_1225	6435	15654	12340	11504	11247	4310	12471	9955	4044	10212
SL1344_1226	1718	3417	1902	1744	2551	651	2366	1882	2201	2687
SL1344_1227	581	867	422	405	508	302	525	511	511	316
SL1344_1228	1323	1787	1011	1413	1093	423	1373	991	1082	1131
SL1344_1229	1245	1360	1063	1203	1016	347	1227	865	780	1035
SL1344_1230	1308	1582	1223	1516	1160	704	1484	1143	1002	1052
SL1344_1231	1883	2608	1373	1553	1738	510	1801	1304	1592	1132
SL1344_1232	1994	2975	1671	2216	1791	806	2419	1784	1738	1608
SL1344_1233	2543	3477	1969	2652	2086	713	2937	1899	1688	2083
SL1344_1234	390	381	233	363	280	117	357	202	181	320
SL1344_1235	209	232	1013	287	985	84	99	751	372	740
SL1344_1236	93	94	49	93	49	42	97	52	39	44
SL1344_1237	801	1011	529	947	761	454	938	723	802	462
SL1344_1238	58	211	23	34	33	13	49	22	28	41
SL1344_1239	85	339	36	44	65	9	76	26	52	58
SL1344_1240	95	332	35	51	43	31	77	25	46	62
SL1344_1241	113	422	59	43	70	26	108	51	43	45
SL1344_1242	33	89	13	7	27	6	16	14	16	14
SL1344_1243	289	673	49	144	96	57	616	62	60	91
SL1344_1244	238	193	148	242	171	41	230	154	154	205
SL1344_1245	824	1571	558	881	752	391	1285	705	670	566
SL1344_1246	855	2391	173	335	255	402	2401	276	279	183
SL1344_1247	259	391	217	191	221	29	267	205	179	218
SL1344_1248	130	158	110	121	112	39	170	133	94	121
SL1344_1249	197	324	178	143	146	34	298	156	101	163
SL1344_1250	154	162	77	145	126	40	164	78	84	133
SL1344_1251	222	303	122	194	100	98	264	129	167	131
SL1344_1252	161	191	109	117	126	66	184	118	91	104
SL1344_1253	376	1837	119	236	182	203	1860	106	70	177
SL1344_1254	92	99	61	90	91	32	133	94	65	84
SL1344_1255	2054	3222	1457	3920	1272	3178	4960	1615	367	3231
SL1344_1256	69	69	53	83	71	37	71	62	34	60
SL1344_1257	528	1154	526	702	669	307	919	646	654	595
SL1344_1258	266	461	190	259	177	89	341	191	144	241
SL1344_1259	150	297	123	133	167	69	226	94	148	136
